"Reporting starts","Reporting ends","Campaign name","Campaign delivery",Results,"Result indicator","Cost per results","Ad set budget","Ad set budget type","Amount spent (EUR)",Impressions,Reach,Ends,"Attribution setting"
2025-11-17,2025-12-01,"Eng - Pianist - 1ad - 17/11 - HP",active,564,actions:offsite_conversion.custom.2985827271703201,0.12388298,"Using ad set budget",0,69.87,19776,15468,Ongoing,"7-day click, 1-day view or 1-day engaged view"
2025-11-17,2025-12-01,"Eng - Pato - 17/11 - ffm",active,647,actions:offsite_conversion.custom.394227653486777,0.10700155,"Using ad set budget",0,69.23,66136,41903,Ongoing,"7-day click, 1-day view or 1-day engaged view"
2025-11-17,2025-12-01,"Eng - Julien Vertigo - 17/11 - ffm",active,1082,actions:offsite_conversion.custom.394227653486777,0.06393715,"Using ad set budget",0,69.18,88918,53638,Ongoing,"7-day click, 1-day view or 1-day engaged view"
2025-11-17,2025-12-01,"Eng - Rainbow  - 18/11 - HP",active,567,actions:offsite_conversion.custom.2985827271703201,0.11447972,"Using ad set budget",0,64.91,53373,35495,Ongoing,"7-day click, 1-day view or 1-day engaged view"
2025-11-17,2025-12-01,"Eng - Daniel Dee- 18/11 - HP",active,388,actions:offsite_conversion.custom.2985827271703201,0.14020619,"Using ad set budget",0,54.4,37146,21846,Ongoing,"7-day click, 1-day view or 1-day engaged view"
2025-11-17,2025-12-01,"Eng Julien  Soundcloud - HP- 18/11",active,19,actions:offsite_conversion.custom.2985827271703201,0.67789474,"Using ad set budget",0,12.88,4335,2861,Ongoing,"7-day click, 1-day view or 1-day engaged view"
2025-11-17,2025-12-01,"Eng - Julien Vertigo - 17/11 -hp â€“ followers",active,111,actions:offsite_conversion.custom.2985827271703201,0.35333333,"Using ad set budget",0,39.22,18962,10232,Ongoing,"7-day click, 1-day view or 1-day engaged view"
2025-11-17,2025-12-01,"eng - trckbst pato - hp- 18/11 minotaur",active,1606,actions:offsite_conversion.custom.2985827271703201,0.16191781,"Using ad set budget",0,260.04,73381,48324,Ongoing,"7-day click, 1-day view or 1-day engaged view"
2025-11-17,2025-12-01,"Eng - Honey - 24/11 - ffm",active,257,actions:offsite_conversion.custom.394227653486777,0.13536965,"Using ad set budget",0,34.79,34080,23864,Ongoing,"7-day click, 1-day view or 1-day engaged view"
2025-11-17,2025-12-01,"Eng - XGuardians- 24/11 - ffm",active,393,actions:offsite_conversion.custom.394227653486777,0.08750636,"Using ad set budget",0,34.39,35120,24627,Ongoing,"7-day click, 1-day view or 1-day engaged view"
2025-11-17,2025-12-01,"Eng - Miky- 24/11 - ffm",active,391,actions:offsite_conversion.custom.394227653486777,0.08790281,"Using ad set budget",0,34.37,25604,16004,Ongoing,"7-day click, 1-day view or 1-day engaged view"
2025-11-17,2025-12-01,"Eng - Amadis - 24/11 - ffm",active,250,actions:offsite_conversion.custom.394227653486777,0.13748,"Using ad set budget",0,34.37,29723,20143,Ongoing,"7-day click, 1-day view or 1-day engaged view"
2025-11-17,2025-12-01,"Eng - Esther - 1ad - 28/11 - FFM",active,94,actions:offsite_conversion.custom.394227653486777,0.15585106,"Using ad set budget",0,14.65,5018,4099,Ongoing,"7-day click, 1-day view or 1-day engaged view"
2025-11-17,2025-12-01,"Eng - Alex K- 26/11 - ffm",active,165,conversions:offsite_conversion.fb_pixel_custom.FeatureFM_click,0.15254545,"Using ad set budget",0,25.17,10554,7770,Ongoing,"7-day click, 1-day view or 1-day engaged view"
2025-11-17,2025-12-01,"Eng - Monsai - 1ad - 26/11 - FFM",active,122,conversions:offsite_conversion.fb_pixel_custom.FeatureFM_click,0.20459016,"Using ad set budget",0,24.96,7942,5749,Ongoing,"7-day click, 1-day view or 1-day engaged view"
2025-11-17,2025-12-01,"Eng - Kamadev - 26/11 - ffm",active,156,actions:offsite_conversion.custom.394227653486777,0.15532051,"Using ad set budget",0,24.23,17990,12364,Ongoing,"7-day click, 1-day view or 1-day engaged view"
2025-11-17,2025-12-01,"Eng - Andrew W-  26/11 - ffm",active,132,conversions:offsite_conversion.fb_pixel_custom.FeatureFM_click,0.18424242,"Using ad set budget",0,24.32,14135,10272,Ongoing,"7-day click, 1-day view or 1-day engaged view"
2025-11-17,2025-12-01,"eng - trckbst Stban - ffm- 28/11 Luz",active,254,conversions:offsite_conversion.fb_pixel_custom.FeatureFM_click,0.3542126,"Using ad set budget",0,89.97,12409,9814,Ongoing,"7-day click, 1-day view or 1-day engaged view"
2025-11-17,2025-12-01,"Eng - Stban playlist - 28/11 - ffm",active,61,conversions:offsite_conversion.fb_pixel_custom.FeatureFM_click,0.22721311,"Using ad set budget",0,13.86,6016,4731,Ongoing,"7-day click, 1-day view or 1-day engaged view"
2025-11-17,2025-12-01,"Eng - Mainterm - 28/11 - ffm",active,52,actions:offsite_conversion.custom.394227653486777,0.27634615,"Using ad set budget",0,14.37,5525,4067,Ongoing,"7-day click, 1-day view or 1-day engaged view"
